song,artist,uri
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,spotify:track:6YZdkObH88npeKrrkb8Ggf
Into You,Ariana Grande,spotify:track:7yHEDfrJNd0zWOfXwydNH0
Middle,DJ Snake,spotify:track:2Fn3coxd0xAZ09JtrgcgHa
You Know You Like It,DJ Snake,spotify:track:1sNSG13fsK6KPKKNIQXXrh
Lean On (feat. MØ & DJ Snake),Major Lazer,spotify:track:4WjH9Bzt3kx7z8kl0awxh4
"Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)",Major Lazer,spotify:track:6dLLEE96JRnX1ngkL77yiA
7/11,Beyoncé,spotify:track:02M6vucOvmRfMxTXDUwRXu
On My Mind,Ellie Goulding,spotify:track:4nS1sut0R2mgmFitKIShVe
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,spotify:track:5b2bu6yyATC1zMXDGScJ2d
Poker Face,Lady Gaga,spotify:track:3OT3Kg4jyVkdZm4Ncz6JgX
Stronger,Kanye West,spotify:track:6C7RJEIUDqKkJRZVWdkfkH
Tacatà - Radio Edit,Tacabro,spotify:track:62pIfDe2RdhUfYmRWdo9ZJ
Payphone - Cutmore Remix,Maroon 5,spotify:track:5bGHlQpI8SiH2BCpwrJf0e
"Back in Time - featured in ""Men In Black 3""",Pitbull,spotify:track:2U2ONBrf1HJCDxQlynpD6J
Back 2 Life (Live It Up) (feat. T.I.),Sean Kingston,spotify:track:39IwhUzRgupGFdmlgrj7uG
Anywhere in the World - Radio Edit,Mark Ronson,spotify:track:6uqAo0E8nK5jlqKnbTynDa
Marilyn Monroe,Nicki Minaj,spotify:track:55hYV5XPhnUtpRbzMYqzJG
TTYLXOX,Bella Thorne,spotify:track:1nIDYHvLaZnD5lEf66SH80
As Long As You Love Me,Justin Bieber,spotify:track:4rvtlpAeDuOn4baUJPCEhy
Ready For Love,Cascada,spotify:track:2YcjOmuHNUiwYjjQMdAKzB
Summer of Love,Cascada,spotify:track:7i0Ygv8i2z8wyQasGQWE3O
Don't Wake Me Up,Chris Brown,spotify:track:50ZWOpzh5i1Y6aBlstiflU
Sick Of You,Selena Gomez & The Scene,spotify:track:548e8kJ1vpf8SZnWTOVS2X
Best Thing I Never Had,Beyoncé,spotify:track:5OrX4PR74Ttezdj5soO1BV
This Is Love,will.i.am,spotify:track:0KaU5T2268e0B1tKSVsiah
#thatPOWER,will.i.am,spotify:track:4DQHskgY5OOkwn9xavjv1g
Without You (feat. Usher),David Guetta,spotify:track:3UN6cIn3VIyg0z1LCuFSum
Kill Em With Kindness,Selena Gomez,spotify:track:7KxhSJOYiqCDclXDBNlFSZ
The Girl (feat. Cozi Zuehlsdorff),Hellberg,spotify:track:2TsMgZTaacXikcOAEezzyk
Propaganda,DJ Snake,spotify:track:0HstjVSwNBbX81tRkuORFP
I Know What You Did Last Summer,Shawn Mendes,spotify:track:7crplFzt7spG80NCbpmuCp
Lifetime (feat. Kyler England),Yellow Claw,spotify:track:5ceESY61Bf9pJ0Jjh6YK6s
Machi,Borgeous,spotify:track:16XU9mAbzAId6xAIKetuRj
No Place Like Home (feat. Rosette) - Radio Edit,Blasterjaxx,spotify:track:4WPeb1WaiC7Xvc9XkG3HBR
Stressed Out,Twenty One Pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
Make It Home - Radio Edit,Mike Candys,spotify:track:3Frb3dNACuEXjDJMgdKA9e
Memories - Radio Edit,KSHMR,spotify:track:7DcY0SUvSIcIjHeSGhTXDk
When I Look At You,Miley Cyrus,spotify:track:6WLArSQvdGhiuTgyoX7HkB
Alien,Britney Spears,spotify:track:3eBxSM7L8AL5wcYd1t4NC0
Unusual You,Britney Spears,spotify:track:5yFDS6dDzjjmGFVaYcwPAB
Beautiful Pain,Eminem,spotify:track:0mwXfPCm4AMaz9J0Cn7FXJ
When I'm Gone,Eminem,spotify:track:5hfttriYehiYRo1Vf5vIG2
Anna mä meen (feat. Jonne Aaron),Cheek,spotify:track:1DJQZMuGTdE3MN0nwfIH7v
Because of You,Kelly Clarkson,spotify:track:3PHYPaguCDKLK1a9cp3uXZ
Me ei olla enää me,SANNI,spotify:track:5FcbLrXeBPqtOUTEt6e38v
Just A Dream,Nelly,spotify:track:1xnPVj6jmYCedHG37IE2cc
Crying for No Reason,Katy B,spotify:track:3DDxYAT7Nuj0tfkHICWYi3
Cool Kids,Echosmith,spotify:track:13P5rwmk2EsoFRIz9UCeh9
A Sky Full of Stars,Coldplay,spotify:track:6HFbq7cewJ7rPiffV0ciil
The One That Got Away,Katy Perry,spotify:track:3oL3XRtkP1WVbMxf7dtTdu
Fix You,Coldplay,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
Lohtu,Live Aid Uusi Lastensairaala 2017,spotify:track:22yDwXNiJlO7UOPud3q2fm
Koska Sä Eroot,Nikke Ankara,spotify:track:4kPj9bSq11ngSO3M4OX2fc
Päästä mut pois,Mikael Gabriel,spotify:track:3PocQjgKV9KNY4IdC04FHJ
Can You See Me?,Krista Siegfrids,spotify:track:2sQ8XbHuqohGcp6HMXnfqQ
Prinsessoja & astronautteja,SANNI,spotify:track:1M3YlNZcSTvRzS7zrlw6B2
Broken Ones,Jacquie,spotify:track:0VYCUWNFIYLIOQqu3bFzs0
Mockingbird,Eminem,spotify:track:17baAghWcrewNOcc9dCewx
Night Changes,One Direction,spotify:track:5O2P9iiztwhomNh8xkR9lJ
Skyscraper,Demi Lovato,spotify:track:2mrbEQOtsP73M2GWsfYzqW
