song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
DOWN TO THE EARTH/大地へ,Haruomi Hosono,0.821,0.3,5.0,-20.316,1.0,0.219,0.848,0.00965,0.282,0.176,123.016,179387.0,4.0,spotify:track:0A5MqwtpgSnncZVgyzq8Gy,0A5MqwtpgSnncZVgyzq8Gy,4
Leave House,Caribou,0.801,0.642,7.0,-8.347,1.0,0.0933,0.0447,0.124,0.154,0.78,137.604,312360.0,4.0,spotify:track:2AdTIN6xoqfHzgjuRZun4V,2AdTIN6xoqfHzgjuRZun4V,11
"Guerra e pace, pollo e brace 1",Ennio Morricone,0.86,0.966,7.0,-8.69,1.0,0.0358,0.166,0.00383,0.101,0.951,123.076,149693.0,4.0,spotify:track:1uRSefkxV6thClaZIIP29d,1uRSefkxV6thClaZIIP29d,11
Bandung,Yanti Bersaudara,0.494,0.414,7.0,-12.401,1.0,0.035,0.389,0.0,0.186,0.419,74.636,169052.0,4.0,spotify:track:1csf328Cg2lmw9OosEZhiD,1csf328Cg2lmw9OosEZhiD,4
Searching For The Truth,Dwain Vinyard,0.529,0.452,7.0,-12.33,1.0,0.0672,0.438,0.00024,0.0901,0.391,146.332,279453.0,4.0,spotify:track:7i3PTd2RKor2hUAXh9HuEe,7i3PTd2RKor2hUAXh9HuEe,4
You Can't Blame Me,"Johnson, Hawkins, Tatum & Durr",0.337,0.734,1.0,-5.961,0.0,0.0451,0.443,2.95e-05,0.598,0.768,169.259,208120.0,4.0,spotify:track:0mVOaql40Z4yoCsJDHgvMy,0mVOaql40Z4yoCsJDHgvMy,2
You Make Me Nothing,Energettics,0.522,0.743,4.0,-8.656,0.0,0.0682,0.423,0.0,0.1,0.941,104.313,158482.0,4.0,spotify:track:2fGPYE0AxKr8LGlGNluCcx,2fGPYE0AxKr8LGlGNluCcx,2
Drumheller,Caribou,0.342,0.462,2.0,-16.952,1.0,0.0354,0.056,0.325,0.0842,0.0716,102.314,93600.0,4.0,spotify:track:5cQgBMyvTkDJgiZhRQDpyq,5cQgBMyvTkDJgiZhRQDpyq,0
Love's Gonna Pack up and Walk Out,"Sly, Slick & Wicked",0.75,0.334,1.0,-9.76,1.0,0.128,0.636,0.0,0.169,0.763,142.055,194333.0,4.0,spotify:track:4cREcoW0V6qkgUJIvanctS,4cREcoW0V6qkgUJIvanctS,4
If,Daphni,0.627,0.979,8.0,-6.318,0.0,0.0356,0.000264,0.95,0.154,0.616,128.05,287195.0,4.0,spotify:track:6jC0JijhQwIq7dKHT9THok,6jC0JijhQwIq7dKHT9THok,5
Seven Years,The Impressions,0.574,0.642,11.0,-9.966,1.0,0.0449,0.341,8.06e-05,0.477,0.944,94.575,144600.0,4.0,spotify:track:4CizK36Hxq8tYxi5qYypfN,4CizK36Hxq8tYxi5qYypfN,11
The Meaning of Love,Steve Kuhn,0.405,0.34,7.0,-15.868,1.0,0.0338,0.615,0.599,0.0981,0.337,106.806,180293.0,4.0,spotify:track:7JThsKQRZacFinuHF6cpYH,7JThsKQRZacFinuHF6cpYH,7
Kisloty People,Schacke,0.663,0.826,6.0,-7.79,0.0,0.0501,6.28e-05,0.034,0.0953,0.69,144.99,361696.0,4.0,spotify:track:0JK5Dq2DioG900WJ7PvDni,0JK5Dq2DioG900WJ7PvDni,2
"Antistatic, Pt. 2",Vainqueur,0.535,0.364,11.0,-16.788,0.0,0.112,0.058,0.936,0.251,0.461,185.162,741111.0,3.0,spotify:track:3tpxN2QId2hQnNZmiv7zJW,3tpxN2QId2hQnNZmiv7zJW,5
Back Home,Caribou,0.552,0.539,8.0,-11.079,1.0,0.0561,0.743,0.616,0.109,0.352,160.018,213187.0,4.0,spotify:track:7mcVeHNQ06UbEVUVWPDBlt,7mcVeHNQ06UbEVUVWPDBlt,7
