danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.569,0.64,5,-9.638,1,0.0382,0.0394,1.89e-05,0.128,0.0964,96.987,audio_features,1JmcG30gfvey8aSwnOsjXJ,spotify:track:1JmcG30gfvey8aSwnOsjXJ,https://api.spotify.com/v1/tracks/1JmcG30gfvey8aSwnOsjXJ,https://api.spotify.com/v1/audio-analysis/1JmcG30gfvey8aSwnOsjXJ,232433,4
0.564,0.863,5,-4.366,1,0.0475,0.000582,0.0,0.374,0.513,118.105,audio_features,0rUGCsNsKjBu0RLzsDiCY4,spotify:track:0rUGCsNsKjBu0RLzsDiCY4,https://api.spotify.com/v1/tracks/0rUGCsNsKjBu0RLzsDiCY4,https://api.spotify.com/v1/audio-analysis/0rUGCsNsKjBu0RLzsDiCY4,196995,4
0.341,0.739,6,-3.189,1,0.0614,0.0919,1.02e-05,0.0881,0.281,148.923,audio_features,3MF7do8iKYkEBNc4lKfT7E,spotify:track:3MF7do8iKYkEBNc4lKfT7E,https://api.spotify.com/v1/tracks/3MF7do8iKYkEBNc4lKfT7E,https://api.spotify.com/v1/audio-analysis/3MF7do8iKYkEBNc4lKfT7E,170477,4
0.419,0.906,4,-4.464,0,0.0448,0.0037,0.00139,0.13,0.337,174.062,audio_features,6SOzNLaZF6gHGgh7qU56hE,spotify:track:6SOzNLaZF6gHGgh7qU56hE,https://api.spotify.com/v1/tracks/6SOzNLaZF6gHGgh7qU56hE,https://api.spotify.com/v1/audio-analysis/6SOzNLaZF6gHGgh7qU56hE,181907,4
0.473,0.892,9,-3.577,1,0.0408,0.000176,0.0,0.148,0.416,128.93,audio_features,1AxdkK4JqNuo9wNeqgD24Q,spotify:track:1AxdkK4JqNuo9wNeqgD24Q,https://api.spotify.com/v1/tracks/1AxdkK4JqNuo9wNeqgD24Q,https://api.spotify.com/v1/audio-analysis/1AxdkK4JqNuo9wNeqgD24Q,213893,4
0.504,0.871,6,-4.154,0,0.0356,0.0116,2.04e-06,0.204,0.379,133.021,audio_features,6GMcilaph0VhFnFm05TRNJ,spotify:track:6GMcilaph0VhFnFm05TRNJ,https://api.spotify.com/v1/tracks/6GMcilaph0VhFnFm05TRNJ,https://api.spotify.com/v1/audio-analysis/6GMcilaph0VhFnFm05TRNJ,220840,4
0.508,0.857,6,-5.182,1,0.0383,0.00116,3.62e-05,0.0992,0.316,125.95,audio_features,0Y49LzeAMa6lyrK2s62v5c,spotify:track:0Y49LzeAMa6lyrK2s62v5c,https://api.spotify.com/v1/tracks/0Y49LzeAMa6lyrK2s62v5c,https://api.spotify.com/v1/audio-analysis/0Y49LzeAMa6lyrK2s62v5c,214733,4
0.451,0.97,2,-2.924,1,0.0821,0.000123,0.0,0.299,0.385,121.0,audio_features,2W6xLXgSiCg8tarbPj4ssc,spotify:track:2W6xLXgSiCg8tarbPj4ssc,https://api.spotify.com/v1/tracks/2W6xLXgSiCg8tarbPj4ssc,https://api.spotify.com/v1/audio-analysis/2W6xLXgSiCg8tarbPj4ssc,199093,3
0.448,0.948,6,-3.903,1,0.039,8.94e-05,0.000373,0.073,0.331,152.054,audio_features,67IcKElEdA7nx5PHfW6tI5,spotify:track:67IcKElEdA7nx5PHfW6tI5,https://api.spotify.com/v1/tracks/67IcKElEdA7nx5PHfW6tI5,https://api.spotify.com/v1/audio-analysis/67IcKElEdA7nx5PHfW6tI5,224427,4
0.428,0.934,9,-4.186,0,0.0436,0.000268,0.0,0.145,0.262,140.058,audio_features,1GAQRqxhTGom3vX6LY5N3H,spotify:track:1GAQRqxhTGom3vX6LY5N3H,https://api.spotify.com/v1/tracks/1GAQRqxhTGom3vX6LY5N3H,https://api.spotify.com/v1/audio-analysis/1GAQRqxhTGom3vX6LY5N3H,220160,4
