danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.564,0.736,1.0,-6.135,1.0,0.0345,0.0198,0.0,0.138,0.422,101.02,audio_features,6757Pp7vTy2a4qUPWCLvmH,spotify:track:6757Pp7vTy2a4qUPWCLvmH,https://api.spotify.com/v1/tracks/6757Pp7vTy2a4qUPWCLvmH,https://api.spotify.com/v1/audio-analysis/6757Pp7vTy2a4qUPWCLvmH,239187.0,4.0,
0.638,0.893,6.0,-4.21,0.0,0.059,0.0534,0.0,0.258,0.904,91.981,audio_features,7HwoUfASF7xwt4vFEhkQF3,spotify:track:7HwoUfASF7xwt4vFEhkQF3,https://api.spotify.com/v1/tracks/7HwoUfASF7xwt4vFEhkQF3,https://api.spotify.com/v1/audio-analysis/7HwoUfASF7xwt4vFEhkQF3,189453.0,4.0,
0.486,0.744,7.0,-6.082,0.0,0.356,0.0302,6.68e-05,0.0914,0.402,94.965,audio_features,02kdNcUqZRgXwQiYr92gZW,spotify:track:02kdNcUqZRgXwQiYr92gZW,https://api.spotify.com/v1/tracks/02kdNcUqZRgXwQiYr92gZW,https://api.spotify.com/v1/audio-analysis/02kdNcUqZRgXwQiYr92gZW,230507.0,4.0,
0.655,0.746,9.0,-6.876,0.0,0.0481,0.0148,4.42e-06,0.102,0.675,116.986,audio_features,05wFHt1ZAsFU8GKbHV7nxo,spotify:track:05wFHt1ZAsFU8GKbHV7nxo,https://api.spotify.com/v1/tracks/05wFHt1ZAsFU8GKbHV7nxo,https://api.spotify.com/v1/audio-analysis/05wFHt1ZAsFU8GKbHV7nxo,254116.0,4.0,
0.634,0.805,10.0,-3.129,0.0,0.0376,0.00817,1.65e-05,0.134,0.902,97.002,audio_features,3LKRwbcHRS0yCzjMLMV0KB,spotify:track:3LKRwbcHRS0yCzjMLMV0KB,https://api.spotify.com/v1/tracks/3LKRwbcHRS0yCzjMLMV0KB,https://api.spotify.com/v1/audio-analysis/3LKRwbcHRS0yCzjMLMV0KB,222685.0,4.0,
0.635,0.828,11.0,-7.575,0.0,0.0592,0.204,0.00924,0.116,0.276,149.953,audio_features,09ISyLOPeuno7kKlzdbZuq,spotify:track:09ISyLOPeuno7kKlzdbZuq,https://api.spotify.com/v1/tracks/09ISyLOPeuno7kKlzdbZuq,https://api.spotify.com/v1/audio-analysis/09ISyLOPeuno7kKlzdbZuq,198987.0,4.0,
0.679,0.734,10.0,-5.542,0.0,0.444,0.0241,1.65e-06,0.369,0.245,145.028,audio_features,46THN9jjPWhSqFUu6YsBhv,spotify:track:46THN9jjPWhSqFUu6YsBhv,https://api.spotify.com/v1/tracks/46THN9jjPWhSqFUu6YsBhv,https://api.spotify.com/v1/audio-analysis/46THN9jjPWhSqFUu6YsBhv,247867.0,4.0,
0.608,0.776,11.0,-3.635,1.0,0.0511,0.241,0.0,0.0713,0.814,89.996,audio_features,3C3cr2JQwXIhqAHqOardVO,spotify:track:3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/tracks/3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/audio-analysis/3C3cr2JQwXIhqAHqOardVO,263733.0,4.0,
0.422,0.493,7.0,-9.793,0.0,0.0318,0.216,0.00178,0.0633,0.0398,129.803,audio_features,0jkhatWqHqW8o4HLeHZXAc,spotify:track:0jkhatWqHqW8o4HLeHZXAc,https://api.spotify.com/v1/tracks/0jkhatWqHqW8o4HLeHZXAc,https://api.spotify.com/v1/audio-analysis/0jkhatWqHqW8o4HLeHZXAc,333982.0,3.0,
0.312,0.59,7.0,-6.779,1.0,0.0307,0.111,0.00151,0.105,0.158,95.019,audio_features,1cVEUehEsGAMD1NJjIc3RX,spotify:track:1cVEUehEsGAMD1NJjIc3RX,https://api.spotify.com/v1/tracks/1cVEUehEsGAMD1NJjIc3RX,https://api.spotify.com/v1/audio-analysis/1cVEUehEsGAMD1NJjIc3RX,355973.0,4.0,
