danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.181,0.0768,7,-25.335,1,0.0438,0.92,0.692,0.0888,0.0335,65.867,audio_features,0KsdmOwjkR71KvWGE0EEXK,spotify:track:0KsdmOwjkR71KvWGE0EEXK,https://api.spotify.com/v1/tracks/0KsdmOwjkR71KvWGE0EEXK,https://api.spotify.com/v1/audio-analysis/0KsdmOwjkR71KvWGE0EEXK,1168219,4
0.207,0.00664,8,-19.155,1,0.0579,0.934,0.909,0.112,0.0254,137.267,audio_features,5o044iIcJk99DBQYPvUlKl,spotify:track:5o044iIcJk99DBQYPvUlKl,https://api.spotify.com/v1/tracks/5o044iIcJk99DBQYPvUlKl,https://api.spotify.com/v1/audio-analysis/5o044iIcJk99DBQYPvUlKl,3330000,4
0.155,0.055,2,-26.213,0,0.0391,0.979,0.82,0.0944,0.0351,82.803,audio_features,6y2AmOAQf2LERRrKrZlLI6,spotify:track:6y2AmOAQf2LERRrKrZlLI6,https://api.spotify.com/v1/tracks/6y2AmOAQf2LERRrKrZlLI6,https://api.spotify.com/v1/audio-analysis/6y2AmOAQf2LERRrKrZlLI6,2308000,4
0.372,0.402,7,-13.28,1,0.0447,0.866,0.91,0.7,0.245,82.266,audio_features,5GIGWcHy4Z9MZcXfPwRd7z,spotify:track:5GIGWcHy4Z9MZcXfPwRd7z,https://api.spotify.com/v1/tracks/5GIGWcHy4Z9MZcXfPwRd7z,https://api.spotify.com/v1/audio-analysis/5GIGWcHy4Z9MZcXfPwRd7z,1314912,4
0.263,0.000308,0,-27.857,1,0.0883,0.994,0.686,0.0912,0.019,135.02,audio_features,4C4dXo8dv8AXIWm8a89VF0,spotify:track:4C4dXo8dv8AXIWm8a89VF0,https://api.spotify.com/v1/tracks/4C4dXo8dv8AXIWm8a89VF0,https://api.spotify.com/v1/audio-analysis/4C4dXo8dv8AXIWm8a89VF0,1233862,4
0.0993,0.0599,0,-25.481,0,0.0438,0.812,0.906,0.0972,0.0558,75.267,audio_features,1nEU4BcSMLCIhRK5n3biYz,spotify:track:1nEU4BcSMLCIhRK5n3biYz,https://api.spotify.com/v1/tracks/1nEU4BcSMLCIhRK5n3biYz,https://api.spotify.com/v1/audio-analysis/1nEU4BcSMLCIhRK5n3biYz,958947,3
0.243,0.437,2,-8.724,0,0.0379,0.635,0.974,0.166,0.0332,100.766,audio_features,3hJgoqoik98ctXroEVMPvA,spotify:track:3hJgoqoik98ctXroEVMPvA,https://api.spotify.com/v1/tracks/3hJgoqoik98ctXroEVMPvA,https://api.spotify.com/v1/audio-analysis/3hJgoqoik98ctXroEVMPvA,1384000,4
0.23,0.216,2,-24.522,1,0.0937,0.951,0.915,0.648,0.169,170.769,audio_features,0t7H4g6R10lDoGMvM9Vt5n,spotify:track:0t7H4g6R10lDoGMvM9Vt5n,https://api.spotify.com/v1/tracks/0t7H4g6R10lDoGMvM9Vt5n,https://api.spotify.com/v1/audio-analysis/0t7H4g6R10lDoGMvM9Vt5n,1200519,4
0.192,0.291,0,-14.415,0,0.034,0.0865,0.849,0.362,0.0784,117.324,audio_features,3vX7MHtYnisIKaHUT4PPJi,spotify:track:3vX7MHtYnisIKaHUT4PPJi,https://api.spotify.com/v1/tracks/3vX7MHtYnisIKaHUT4PPJi,https://api.spotify.com/v1/audio-analysis/3vX7MHtYnisIKaHUT4PPJi,1246267,4
0.0892,0.0162,5,-31.304,0,0.0449,0.962,0.962,0.0887,0.0266,56.015,audio_features,2oWwrX6JGdRC4cUnJlYiWF,spotify:track:2oWwrX6JGdRC4cUnJlYiWF,https://api.spotify.com/v1/tracks/2oWwrX6JGdRC4cUnJlYiWF,https://api.spotify.com/v1/audio-analysis/2oWwrX6JGdRC4cUnJlYiWF,859600,4
